RID,Act ID,"Establishment Name
Site City-State-Zip",County,Primary/Site NAICS,Receipt Date,Receipt Type,Formality,Insp ID,Addl' Code,Hazard Desc and Location,No Alleged Hazards/No Emp Exposed,weight,Industry_code
01-115-00,C-1555000,"Connecticut Transit
26 Elm Street, STAMFORD, CONNECTICUT, 06902",FAIRFIELD,"485210 /
485210",2020-03-18,Online,Nonformal,,N-16-COVID-19: ,"1.  There is a potential exposure to the coronavirus where the employer has not sanitized any trucks or cargo truck which the employees share. 

2.  There is no safety protection for the employees.

3.  The safety protection is locked up in the back room for testing.","3/
100",1,48
01-115-00,C-1555072,"Charter Communication
400 Atlantic Street, Floor 10, STAMFORD, CONNECTICUT, 06901",FAIRFIELD,"238210 /
238210",2020-03-18,Online,Nonformal,,N-16-COVID-19: ,The employer is not following the procedures for the social distancing in regards to the coronavirus.  The employer is forcing the employees to go into the office to work together even though the employees have the capability to work from home.,"1/
10,000",1,23
01-115-00,C-1555132,"Norwalk Community Health Center
120 Connecticut Avenue, NORWALK, CONNECTICUT, 06854",FAIRFIELD,"621498 /
621498",2020-03-19,Phone,Nonformal,,N-16-COVID-19: ,"1.  The employer does not provide the employees who can not wear surgical masks alternate personal protective equipment (PPE).

2.   The employer does not require all employees to wear appropriate PPE for the coronavirus preventative measures.","2/
50",1,62
01-115-00,C-1555684,"Bridgeport Anesthesia Associates, Inc.
267 Grant Street, BRIDGEPORT, CONNECTICUT, 06610",FAIRFIELD,"622110 /
622110",2020-03-19,Phone,Nonformal,,N-16-COVID-19: ,Employees who are required to work in close proximity to their patients (with potential virus Covid19) are not being provided with N95 type masks as recommended by the Center for Disease Control (CDC). ,"1/
10",1,62
01-115-00,C-1555787,"Quest Diagnostics, LLC
863 North Main Street Extension, WALLINGFORD, CONNECTICUT, 06492",NEW HAVEN,"621511 /
621511",2020-03-18,Phone,Nonformal,,N-16-COVID-19: ,Employees who are required to work in close proximity to their patients (with potential coronavirus (Covid-19) are not being provided with N95 type masks as recommended by the Center for Disease Control (CDC). ,"1/
10",1,62
01-115-00,C-1556322,"Altice USA / Optimum
122 River Street, BRIDGEPORT, CONNECTICUT, 06605",FAIRFIELD,"517919 /
517919",2020-03-23,Phone,Nonformal,,N-16-COVID-19: ,"1. Employee are exposed to the Coronavirus - 19 while working with customer inside their residence, who can potentially have this virus.  Company is not allowing employees to use mask while working in the resident of the customer to perform their job and according to the company it is against the company policy.
2. Employees are not being trained as to how to protect themselves against a potential customer with the COVID -19 Virus.
","2/
1",1,51
01-115-00,C-1556549,"Safe Home Security Inc
1125 Middle Street, Suite 201, MIDDLETOWN, CONNECTICUT, 06457",MIDDLESEX,"561621 /
561621",2020-03-20,Online,Nonformal,,N-16-COVID-19: ,Employees work in a confined area without the proper safeguards to prevent COVID-19 infection. This includes numerous employees showing symptoms at work.,"1/
350",1,56
01-115-00,C-1556800,"Advanced Endodontics of CT
95 Armory Road, STRATFORD, CONNECTICUT, 06614",FAIRFIELD,"621210 /
621210",2020-03-23,Phone,Nonformal,,N-16-COVID-19: ,"1.)  Respiratory protection is not provided
2.)  No procedures are in place to prevent patients from exposing the staff to COVID-19.","2/
1",1,62
01-115-00,C-1558417,"Soundview Medical Assoicates
761 Main Ave, NORWALK, CONNECTICUT, 06851",FAIRFIELD,"621999 /
621999",2020-03-25,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees are working in areas with no social distancing.

2. Colleagues have been diagnose is COVID-19.

3. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working). ","3/
10",1,62
01-115-00,C-1558454,"UPS
1010 Honey Spot Road, STRATFORD, CONNECTICUT, 06614",FAIRFIELD,"492110 /
492110",2020-03-25,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees that appear to be sick are not being sent home.

2. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working). ","2/
40",1,49
01-115-00,C-1558483,"York Analytical Laboratory
120 Research Drive, STRATFORD, CONNECTICUT, 06615",FAIRFIELD,"621511 /
621511",2020-03-25,Phone,Nonformal,,N-16-COVID-19: ,"1 The laboratory was not quarantine after a possible COVID-19 event.

2. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working).","2/
10",1,62
01-115-00,C-1558529,"NORTHEAST ELECTRONICS, CORP
455 BIC DRIVE, MILFORD, CONNECTICUT, 06460",NEW HAVEN,"334419 /
334419",2020-03-24,Phone,Nonformal,,N-16-COVID-19: ,"It is alleged that at least two (2) employees who have been working and are suspected to have been exposed to the COVID-19 virus are still being allowed to work and thus exposing other employees to the virus.

1. Employees are working in close quarters and are not social distancing when working and moving around the facility. 

2. Proper disinfecting and cleaning is not being performed. 

3. The employer is not following the CDC guidelines. ","4/
50",1,33
01-115-00,C-1559012,"Utopia Home Care, Inc.
3180 Main Street, Suite 105, BRIDGEPORT, CONNECTICUT, 06606",FAIRFIELD,"621610 /
621610",2020-03-26,Phone,Nonformal,,N-16-COVID-19: ,Even with persons having come in contact with Covid -19 positive patients the company does not allow work from home where possible and social distancing is not directed.,"1/
9",1,62
01-115-00,C-1560619,"USPS
210 Maple Avenue, CHESHIRE, CONNECTICUT, 06410",NEW HAVEN,"491110 /
491110",2020-03-28,Online,Nonformal,,N-16-COVID-19: ,"1.  Two employees were sent to the Bristol, CT post office and returned with coronavirus exposure.  The employees are unsure whether other employees were exposed to the virus. 

2.  The employer is not separating the employees at a certain distance at the Cheshire, CT post office.","2/
50",1,49
01-115-00,C-1560651,"Western Connecticut Home Care
100 Saw Mill Road, DANBURY, CONNECTICUT, 06810",FAIRFIELD,"621610 /
621610",2020-03-27,Online,Nonformal,,N-16-COVID-19: ,The employer is not providing the N95 respirators for the employees who are handling the covid-19 patients.,"1/
50",1,62
01-115-00,C-1560701,"Danbury Hospital
24 Hospital Avenue, DANBURY, CONNECTICUT, 06810",FAIRFIELD,"622110 /
622110",2020-03-28,Online,Nonformal,,N-16-COVID-19: ,The employer has not provided the nurses in Danbury hospital with personal protective equipment for COVID-19 exposures.,"1/
100",1,62
01-115-00,C-1560779,"Ethan Allen Global, Inc.
25 Lake Avenue Extension, DANBURY, CONNECTICUT, 06810",FAIRFIELD,"442110 /
442110",2020-03-28,Online,Nonformal,,N-16-COVID-19: ,The employer is allowing 150 people in the building during the coronavirus when the governor stated no more than 50 people.,"1/
150",1,44
01-115-00,C-1560883,"Stamford Hyundai
85 Magee Avenue, STAMFORD, CONNECTICUT, 06902",FAIRFIELD,"423120 /
423120",2020-03-28,Online,Nonformal,,N-16-COVID-19: ,An employee tested positive for (COVID-19) and the employer had not taken preventative measures for other employees working at the company.,"1/
50",1,42
01-115-00,C-1560956,"Western Connecticut Home Care
100 Saw Mill Road, DANBURY, CONNECTICUT, 06810",FAIRFIELD,"621610 /
621610",2020-03-27,Phone,Nonformal,,N-16-COVID-19: ,Employees are not provided with N95 mask or proper personal protective equipment to perform their duties as Nurses at patients' residence home that are tested positive for Coronavirus.,"1/
80",1,62
01-115-00,C-1560997,"Wilton Meadows Healthcare Center
439 Danbury Road, WILTON, CONNECTICUT, 06897",FAIRFIELD,"623110 /
623110",2020-03-30,Phone,Nonformal,,N-16-COVID-19: ,The employer has not provided personal protective equipment (PPE) for the employees handling patients with potential coronavirus (COVID-19) and the employer has not taken any preventative measures in accordance with CDC guidelines for the employees indirect or direct exposed to individuals with known or suspected cases of coronavirus (COVID-19).,"1/
50",1,62
01-115-00,C-1561057,"Hi-Rel Products, LLC
16 Plains Road, ESSEX, CONNECTICUT, 06426",MIDDLESEX,"334413 /
334413",2020-03-30,Phone,Nonformal,,N-16-COVID-19: ,"1.  The employees are exposed to unventilated rooms in the chemical department.

2.  The employer has not taken any preventative measures in accordance with CDC guidelines for employees indirect or direct exposed to individuals with known or suspected cases of coronavirus (COVID-19).","2/
40",1,33
01-115-00,C-1561080,"Whiting Forensics / Dutcher Hall
Holmes Drive, MIDDLETOWN, CONNECTICUT, 06457",MIDDLESEX,"621112 /
621112",2020-03-27,Online,Nonformal,,N-16-COVID-19: ,"1. Employees are not provided with face mask  while working with patients with potential Coronavirus. 
2. Employees are not allowed to use face mask while working with patients and are threaten to be written up and face up to 30 days of suspension without pay if caught.","2/
30",1,62
01-115-00,C-1562037,"CVS
54 East High Street, EAST HAMPTON, CONNECTICUT, 06424",MIDDLESEX,"446110 /
446110",2020-03-27,Online,Nonformal,,N-16-COVID-19: ,The employer is allowing more than 50 people in the building at one time during the coronavirus (COVID-19) pandemic outbreak exposing employees indirect and direct individuals with potentially or known coronavirus (COVID-19),"1/
7",1,44
01-115-00,C-1562069,"Alinabal Incorporated
28 Woodmont Road, MILFORD, CONNECTICUT, 06460",NEW HAVEN,"332116 /
332116",2020-03-29,Online,Nonformal,,N-16-COVID-19: ,"1.  The company machines, breakrooms and tables are not being disinfected in all areas where there is a potential for coronavirus (COVID-19) .

2.  Allegedly, two employees tested positive for coronavirus (COVID-19) and the employer has not taken any preventative measures in accordance with CDC Guidelines for employees indirect or direct exposed to individuals with known or suspected cases of coronavirus (COVID-19).  ","2/
100",1,33
01-115-00,C-1562498,"Frontier Communications Corporation
4 Medow Street, NORWALK, CONNECTICUT, 06854",FAIRFIELD,"517212 /
517212",2020-03-31,Phone,Nonformal,,N-16-COVID-19: ,An employee worked while feeling ill and the following day he called out sic but the employer did not perform any cleaning / decontamination until it was confirmed positive for Covid -19 five to six days later.,"1/
20",1,51
01-115-00,C-1562528,"Sikorsky Aircraft
6900 Main Street, STRATFORD, CONNECTICUT, 06615",FAIRFIELD,"336411 /
336411",2020-03-31,Phone,Nonformal,,N-16-COVID-19: ,"The Company does not follow the recommendations of the CDC such as but not limited to;  The time clock now requires finger touch  of every employee, the turnstile are not cleaned between employees enter the facility And the management does not make attempts to enforce social distancing recommendations.","1/
2",1,33
01-115-00,C-1562975,"U.S. Postal Service
36 Arcadia Road, OLD GREENWICH, CONNECTICUT, 06870",FAIRFIELD,"491110 /
491110",2020-04-01,Online,Nonformal,,N-16-COVID-19: ,We have been exposed to employee with fever.  We also do not have adequate protection against customers.  This building is filthy and does not have sufficient air flow.  It needs to be shut down and thoroughly cleaned.  I have open surgical wounds and am not safe working here to begin with.  ,"1/
5",1,49
01-115-00,C-1563183,"John's Refuse & Recycling, L.L.C.
1002 Middletown Avenue, NORTHFORD, CONNECTICUT, 06472",NEW HAVEN,"562111 /
562111",2020-04-01,Hotline,Nonformal,,N-16-COVID-19: ,they have three employees in a truck near each other and they are not following guidelines.,"1/
3",1,56
01-115-00,C-1563272,"Curtis Home The
380 Crown Street, MERIDEN, CONNECTICUT, 06450",NEW HAVEN,"622310 /
622310",2020-04-01,Phone,Nonformal,,N-16-COVID-19: ,"Employee, who is involved in direct patient care, states that they were denied respirators because ""they were new employees and that the respirators were expensive""","1/
3",1,62
01-115-00,C-1563814,"White Oak Tree & Landscape LLC
33 Ezra Street, NORTH HAVEN, CONNECTICUT, 06473",NEW HAVEN,"561730 /
561730",2020-04-02,Online,Formal,,N-16-COVID-19: ,"Management is not taking the appropriate precautions to help prevent the spread of the COVID-19 virus. This includes each worker not having their own pair of work gloves, several workers having to travel in the same truck in close proximity, and no opportunity to wash hands with soap and water throughout the day.","/
",1,56
01-115-00,C-1563907,"H & R Block Eastern Enterprises Inc. DBA H & R Block
2065 Black Rock Turnpike, FAIRFIELD, CONNECTICUT, 06825",FAIRFIELD,"541213 /
541213",2020-04-02,Phone,Nonformal,,N-16-COVID-19: ,"An employee tested positive for coronavirus and was hospitalized on Monday March 30, 2020. All workers who were in direct contact with this worker during the previous 14 days were not notified that they were potentially exposed to the coronavirus.","1/
9",1,54
01-115-00,C-1564147,"Alternative Dental Laboratory Inc
110 Republic Drive, Unit 6, NORTH HAVEN, CONNECTICUT, 06473",NEW HAVEN,"339116 /
339116",2020-04-02,Phone,Nonformal,,N-16-COVID-19: ,Workplace surfaces are not appropriately disinfected on a regular basis to help prevent the spread of COVID-19.,"1/
20",1,33
01-115-00,C-1564230,"Petsmart INC
475 Bank Street, WATERBURY, CONNECTICUT, 06708",NEW HAVEN,"453910 /
453910",2020-04-02,Phone,Nonformal,,N-16-COVID-19: ,"A worker with flu like symptoms tested positive for COVID-19, exposing other workers in the store.","1/
20",1,45
01-115-00,C-1564676,"United Parcel Service Inc
84 Pocono Road, BROOKFIELD, CONNECTICUT, 06804",FAIRFIELD,"492110 /
492110",2020-04-02,Phone,Nonformal,,N-16-COVID-19: ,"Workers who load trucks are not given the proper face masks, hand sanitizer, and gloves to protect themselves from COVID-19.","1/
60",1,49
01-115-00,C-1564827,"Amazon Fulfillment Center BDL-3
409 Washington Avenue, NORTH HAVEN, CONNECTICUT, 06473",NEW HAVEN,"492110 /
492110",2020-04-02,Phone,Nonformal,,N-16-COVID-19: ,Workers are not told in a timely manner about coworkers who have tested positive for COVID-19 and increases in surface disinfection practices have not been performed.,"1/
120",1,49
01-115-00,C-1565002,"Unger Enterprises, LLC
650 Long Beach Blvd, STRATFORD, CONNECTICUT, 06614",FAIRFIELD,"339994 /
339994",2020-04-03,Phone,Nonformal,,N-16-COVID-19: ,"It is alleged that at least one (1) employee who have been working and has tested positive to the COVID-19 virus may have exposed other employees to the virus. 
 
1. Employees (workers) were not notified within a timely manner of a potential indirect and/or direct coronavirus (COVID-19) exposure or encounter.

2. Employees (workers) working in close proximity to each other are not practicing social distancing in accordance with CDC Guidelines when working and moving throughout the facility.

3. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines.

4. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.","4/
50",1,33
01-115-00,C-1565058,"Bimbo Bakeries USA, Inc.
10 Hamilton Avenue, GREENWICH, CONNECTICUT, 06830",FAIRFIELD,"311812 /
311812",2020-04-01,Phone,Nonformal,,N-16-COVID-19: ,All the management have self-quarantined at the facility and appropriate steps have not been taken to protect workers from exposure to the COVID-19.,"1/
20",1,31
01-115-00,C-1565140,"MILLER MEMORIAL COMMUNITY, INC.
360 BROAD STREET, MERIDEN, CONNECTICUT, 06450",NEW HAVEN,"623311 /
623311",2020-04-03,Phone,Nonformal,,N-16-COVID-19: ,"1. Healthcare workers, such as, but not limited to, nurses and cnas, are not provided with personal protective equipment (PPE) such as, but not limited to, masks.  

2. In the absence of soap and water, hand sanitizer is not available to the staff.

3. The employer has discontinued the screening the methods for staff prior to entry to the facility.

4.  The employer does not have an implemented Infection Control Plan in place, were all employees are trained on what PPE to use for specific health hazards. It is alleged that employee does not use signs or guidance for PPE when entering rooms with infected or contagious patients.   ","4/
20",1,62
01-115-00,C-1565229,"Hartley & Parker Limited, Inc.
100 Browning Street, STRATFORD, CONNECTICUT, 06615",FAIRFIELD,"424820 /
424820",2020-04-03,Phone,Nonformal,,N-16-COVID-19: ,"Warehouse and Drivers

1. Driver are not provided with personal protective equipment, such as, but not limited to, mask, gloves, disincentive wipes, and hand sanitizer. 

2. It is alleged that at least two (2) employees have  test positive and employees were not notified within a timely manner of a potential indirect and/or direct coronavirus (COVID-19) exposure or encounter. 

3. Employees (workers) working in close proximity to each other are not practicing social distancing in accordance with CDC Guidelines when working and moving throughout the facility. 

4. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines. 

5. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.

6. Trucks are not disinfected daily after use, especially after positive or potentially positive employees have used the trucks. ","6/
20",1,42
01-115-00,C-1565238,"CooperSurgical, Inc.
95 Corporate Drive, TRUMBULL, CONNECTICUT, 06611",FAIRFIELD,"339112 /
339112",2020-04-03,Phone,Nonformal,,N-16-COVID-19: ,"1. Items such as, but not limited to, time clocks are not disinfected.

2. Employees (workers) working in close proximity to each other are not practicing social distancing in accordance with CDC Guidelines when working and moving throughout the facility.

3. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines.

4. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.","4/
25",1,33
01-115-00,C-1565894,"U.S. POSTAL SERVICE
24 RESEARCH PARKWAY, WALLINGFORD, CONNECTICUT, 06492",NEW HAVEN,"491110 /
491110",2020-04-06,Email,Nonformal,,N-16-COVID-19: ,"1.  Exits are blocked, specifically Exit Doors A and F. It is alleged that these exits have been blocked for two months. 
 
2.  The employer has not updated the emergency evacuation plan or similar, to include items such as, but not limited to, exit routes, rally points, and maps and has not trained all staff, on all shifts, on these new and/or temporary changes and updates. It is alleged that during construction more egress doors, North entrance and Southwest, have been removed from the staff usage and no updates have been provided. 
 
3.  Employees, visitors, and outside contractors, working in close proximity to each other are not practicing social distancing in accordance with Centers of Disease Control (CDC) Guidelines when working and moving throughout the facility. 
 
4.  Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines, especially for high touch areas for employees and contractors. 
 
5.  CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed. 
 
6.  Where construction work is occurring within facility, employees on each shift have not been provided with pertinent hazard awareness training to effectively communicate all hazards associated with the construction work to affected employees in the facility. 
 
7.  Constructions workers are not wearing the proper personal protective equipment when performing tasks such as, but not limited to, hanging ceiling coverings while elevated eight (8) feet above a lower walking/working surface. 
 
8.  Workers (contractors) performing high bay cleaning and/or are disturbing dust/dirt potentially containing or contaminated with B. anthracis (Anthrax) are not utilizing proper and approved protocols and/or items such as, but not limited to, wet cleaning methods, HEPA vacuuming, and other similar Centers of Disease Control (CDC) guidelines for B. anthracic (Anthrax). Failure to follow established and approved cleaning methods and guidelines are potentially exposing employees within the facility to Anthrax. 

9.  Components, pieces and parts including rods, metal sheet plates, bolts and brackets from the out of service (no longer used) overhead conveyor and supporting structural system are not properly secured and exposing employees to overhead hazards from the components, pieces and parts falling resulting in potential serious injuries. 
   
10.  Sprinkler heads in the workroom are entirely covered by a canopy installed during the construction activity and thereby making the fire protection system ineffective. 

11.  The lights in the workroom are covered thereby not allowing for sufficient illumination in the work area.
","10/
50",1,49
01-115-00,C-1566045,"Bimbo Bakeries USA
328 A Selleck Street, STAMFORD, CONNECTICUT, 06902",FAIRFIELD,"311812 /
311812",2020-04-04,Online,Nonformal,,N-16-COVID-19: ,"1.  The employer is not protecting the employees from exposure to coronavirus (COVID-19).  There are approximately 100 employees in the workplace and there are several employees out sick with suspected cases of coronavirus (COVID-19).

2.  The employer is not taking any extra cleaning procedures for the employees operating the computer terminals, handheld equipment or warehouse equipment or route trucks.  The employer has offered one bottle of disinfectant for the use on 72 trucks.","2/
100",1,31
01-115-00,C-1566096,"Connecticut Transit
2061 State Street, HAMDEN, CONNECTICUT, 06517",NEW HAVEN,"485210 /
485210",2020-04-06,Online,Nonformal,,N-16-COVID-19: ,"1.  The employer is allowing more than five people inside the office.
2.  The employer is allowing the employees to be within six feet of one another.
3. Management is stating to us windex instead of Chlorox wipes or disinfectant sprays on the desks which are shared.
4. Two employees tested positive for coronavirus (COVID-19) inside the building and the employer has not done anything to protect the employees.","4/
50",1,48
01-115-00,C-1566818,"CVS Pharmacy
989 Boston Post Road, MILFORD, CONNECTICUT, 06460",NEW HAVEN,"446110 /
446110",2020-04-04,Online,Nonformal,,N-16-COVID-19: ,An employee working in this location was found to be positive for coronavirus (COVID-19) and the company took no measures to sterilize the store or quarantine the exposed employees.,"1/
10",1,44
01-115-00,C-1566922,"Trinity Solar, Inc. DBA Trinity Solar
611 West Johnson Ave, CHESHIRE, CONNECTICUT, 06410",NEW HAVEN,"238210 /
238210",2020-04-07,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees are not notified within a timely manner of a potential indirect and/or direct coronavirus (COVID-19) exposure or encounters. It s alleged that there have been employees who have exhibited signs and symptoms while working. 

2. Employees (workers) working in close proximity to each other are not practicing social distancing in accordance with CDC Guidelines when working and moving throughout the facility, especially during morning crew pick ups. 

3. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.

4.  Drivers are not provided with personal protective equipment (PPE), such as, but not limited to, mask, gloves, disinfectant wipes, and soap and water or hand sanitizer.

5. Trucks are not properly cleaned and disinfected daily after use, especially after positive or potentially positive coronavirus (COVID-19) employees (workers) utilized the trucks.","3/
50",1,23
01-115-00,C-1567023,"Alpha Broder, Inc DBA Prime
1100 BOSTON AVE., BRIDGEPORT, CONNECTICUT, 06610",FAIRFIELD,"339950 /
339950",2020-04-07,Phone,Nonformal,,N-16-COVID-19: ,"1.  Where employees who speak other languages, such as, but not limited to Spanish, training and information as it pertains to topics, such, as COVID-19, are not provided in a language the employees can understand.

2.  It is alleged, there have been multiple cases of employees (workers) who have tested positive for coronavirus (COVID-19) and other employees (workers) were not notified within a timely manner  or not notified at all of the potential indirect and/or direct coronavirus (COVID-19) exposure or encounter.

3. Employees (workers) working in close proximity to each other are not practicing social distancing in accordance with CDC Guidelines when working and moving throughout the facility.

4. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines.

5. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.
","5/
100",1,33
